n,game,algorithm,dimension,time,number of moves,number of states,won,state space,solution: car,solution: direction
1,6x6_2,hillclimber,6,142.691036,26,3238,1,3239,A,-1
2,6x6_2,hillclimber,6,166.713774,26,3295,1,3296,A,-1
3,6x6_2,hillclimber,6,225.970421,26,3443,1,3444,A,-1
4,6x6_2,hillclimber,6,172.851243,27,3252,1,3253,A,-1
5,6x6_2,hillclimber,6,285.786777,27,3618,1,3619,A,-1
6,6x6_2,hillclimber,6,242.350156,26,3396,1,3397,H,1
7,6x6_2,hillclimber,6,317.008383,26,3324,1,3325,A,-1
8,6x6_2,hillclimber,6,219.969778,28,3274,1,3275,H,1
9,6x6_2,hillclimber,6,292.3181,27,3476,1,3477,A,-1
10,6x6_2,hillclimber,6,203.613027,27,3297,1,3298,H,1
