n,game,algorithm,dimension,time,number of moves,number of states,won,state space,solution: car,solution: direction
1,6x6_3,random,6,10.262338,41197,41197,1,,A,1
2,6x6_3,random,6,12.888377,49973,49973,1,,A,1
3,6x6_3,random,6,16.723255,63161,63161,1,,A,1
4,6x6_3,random,6,7.446653,27381,27381,1,,A,1
5,6x6_3,random,6,9.110011,32644,32644,1,,A,1
6,6x6_3,random,6,43.608395,160828,160828,1,,A,1
7,6x6_3,random,6,6.133015,21094,21094,1,,A,1
8,6x6_3,random,6,8.846528,30783,30783,1,,A,1
9,6x6_3,random,6,23.587879,83508,83508,1,,A,1
10,6x6_3,random,6,23.478255,77743,77743,1,,A,1
11,6x6_3,random,6,32.642734,102698,102698,1,,A,1
12,6x6_3,random,6,45.827938,141178,141178,1,,A,1
13,6x6_3,random,6,5.413086,15854,15854,1,,A,1
14,6x6_3,random,6,13.787173,41734,41734,1,,A,1
15,6x6_3,random,6,14.049407,42314,42314,1,,A,1
16,6x6_3,random,6,12.935908,39058,39058,1,,A,1
17,6x6_3,random,6,4.798777,13809,13809,1,,A,1
18,6x6_3,random,6,9.871135,28624,28624,1,,A,1
19,6x6_3,random,6,16.815904,48487,48487,1,,A,1
20,6x6_3,random,6,2.616433,7391,7391,1,,A,1
21,6x6_3,random,6,33.292332,99969,99969,1,,A,1
22,6x6_3,random,6,90.07571,270877,270877,1,,A,1
23,6x6_3,random,6,50.017818,149088,149088,1,,A,1
24,6x6_3,random,6,17.502252,52387,52387,1,,A,1
25,6x6_3,random,6,5.116472,15112,15112,1,,A,1
26,6x6_3,random,6,27.841738,84172,84172,1,,A,1
27,6x6_3,random,6,4.558126,13462,13462,1,,A,1
28,6x6_3,random,6,18.803676,56698,56698,1,,A,1
29,6x6_3,random,6,15.562707,46114,46114,1,,A,1
30,6x6_3,random,6,81.401448,243555,243555,1,,A,1
31,6x6_3,random,6,26.445456,79492,79492,1,,A,1
32,6x6_3,random,6,43.7002,130133,130133,1,,A,1
33,6x6_3,random,6,6.390483,19588,19588,1,,A,1
34,6x6_3,random,6,7.203742,21799,21799,1,,A,1
35,6x6_3,random,6,19.638641,64412,64412,1,,A,1
36,6x6_3,random,6,15.989963,52498,52498,1,,A,1
37,6x6_3,random,6,4.00031,13257,13257,1,,A,1
38,6x6_3,random,6,18.608713,62488,62488,1,,A,1
39,6x6_3,random,6,7.724639,25283,25283,1,,A,1
40,6x6_3,random,6,3.324547,11036,11036,1,,A,1
41,6x6_3,random,6,12.039045,40266,40266,1,,A,1
42,6x6_3,random,6,14.216033,48492,48492,1,,A,1
43,6x6_3,random,6,3.732414,11926,11926,1,,A,1
44,6x6_3,random,6,14.056142,46972,46972,1,,A,1
45,6x6_3,random,6,1.702454,5432,5432,1,,A,1
46,6x6_3,random,6,24.287336,79318,79318,1,,A,1
47,6x6_3,random,6,58.923153,198231,198231,1,,A,1
48,6x6_3,random,6,12.077483,39925,39925,1,,A,1
49,6x6_3,random,6,4.148855,13316,13316,1,,A,1
50,6x6_3,random,6,6.138699,20086,20086,1,,A,1
51,6x6_3,random,6,6.38653,21020,21020,1,,A,1
52,6x6_3,random,6,13.476505,42434,42434,1,,A,1
53,6x6_3,random,6,55.06798,175165,175165,1,,A,1
54,6x6_3,random,6,46.489707,149691,149691,1,,A,1
55,6x6_3,random,6,9.595487,31078,31078,1,,A,1
56,6x6_3,random,6,52.510209,177034,177034,1,,A,1
57,6x6_3,random,6,14.986409,50042,50042,1,,A,1
58,6x6_3,random,6,7.06792,22458,22458,1,,A,1
59,6x6_3,random,6,12.751336,42133,42133,1,,A,1
60,6x6_3,random,6,31.657664,93191,93191,1,,A,1
61,6x6_3,random,6,79.254201,253102,253102,1,,A,1
