n,game,algorithm,dimension,time,number of moves,number of states,won,state space,solution: car,solution: direction
1,12x12_7,random,12,157.256043,87474,87474,1,,A,1
2,12x12_7,random,12,214.149708,102293,102293,1,,A,1
3,12x12_7,random,12,222.167992,110870,110870,1,,A,1
4,12x12_7,random,12,539.05335,247236,247236,1,,A,1
5,12x12_7,random,12,43.087774,19942,19942,1,,A,1
6,12x12_7,random,12,487.489441,221304,221304,1,,A,1
7,12x12_7,random,12,53.328321,25033,25033,1,,A,1
8,12x12_7,random,12,57.274886,26375,26375,1,,A,1
9,12x12_7,random,12,47.70327,21619,21619,1,,A,1
10,12x12_7,random,12,262.726952,119023,119023,1,,A,1
11,12x12_7,random,12,83.022967,37531,37531,1,,A,1
12,12x12_7,random,12,205.502972,97635,97635,1,,A,1
13,12x12_7,random,12,28.059609,13316,13316,1,,A,1
14,12x12_7,random,12,80.237778,34450,34450,1,,A,1
15,12x12_7,random,12,27.536807,12617,12617,1,,A,1
16,12x12_7,random,12,60.425545,26854,26854,1,,A,1
17,12x12_7,random,12,179.440472,83469,83469,1,,A,1
18,12x12_7,random,12,183.97024,86067,86067,1,,A,1
19,12x12_7,random,12,132.99463,62023,62023,1,,A,1
20,12x12_7,random,12,228.885385,103766,103766,1,,A,1
21,12x12_7,random,12,20.434549,9296,9296,1,,A,1
22,12x12_7,random,12,105.254375,46769,46769,1,,A,1
23,12x12_7,random,12,11.597026,5006,5006,1,,A,1
24,12x12_7,random,12,21.726644,9979,9979,1,,A,1
25,12x12_7,random,12,51.615557,23192,23192,1,,A,1
26,12x12_7,random,12,503.448591,219936,219936,1,,A,1
27,12x12_7,random,12,197.361418,89907,89907,1,,A,1
28,12x12_7,random,12,334.302307,159738,159738,1,,A,1
29,12x12_7,random,12,66.580103,32241,32241,1,,A,1
30,12x12_7,random,12,345.696843,157093,157093,1,,A,1
31,12x12_7,random,12,26.399142,12622,12622,1,,A,1
32,12x12_7,random,12,252.530135,114244,114244,1,,A,1
33,12x12_7,random,12,177.633753,80690,80690,1,,A,1
34,12x12_7,random,12,293.689197,137782,137782,1,,A,1
35,12x12_7,random,12,120.260309,53962,53962,1,,A,1
36,12x12_7,random,12,207.943502,98551,98551,1,,A,1
37,12x12_7,random,12,28.01153,12808,12808,1,,A,1
38,12x12_7,random,12,100.531662,46917,46917,1,,A,1
39,12x12_7,random,12,68.091321,30319,30319,1,,A,1
40,12x12_7,random,12,181.719966,84650,84650,1,,A,1
41,12x12_7,random,12,59.916195,26977,26977,1,,A,1
42,12x12_7,random,12,109.370419,51732,51732,1,,A,1
43,12x12_7,random,12,187.802502,86516,86516,1,,A,1
44,12x12_7,random,12,389.11446,180252,180252,1,,A,1
45,12x12_7,random,12,40.502815,18359,18359,1,,A,1
46,12x12_7,random,12,133.725136,59655,59655,1,,A,1
47,12x12_7,random,12,165.043457,78744,78744,1,,A,1
48,12x12_7,random,12,247.123974,112446,112446,1,,A,1
49,12x12_7,random,12,33.827874,14596,14596,1,,A,1
50,12x12_7,random,12,439.625093,203145,203145,1,,A,1
51,12x12_7,random,12,75.82278,34714,34714,1,,A,1
52,12x12_7,random,12,84.415972,37534,37534,1,,A,1
53,12x12_7,random,12,63.400021,28779,28779,1,,A,1
54,12x12_7,random,12,219.892298,105152,105152,1,,A,1
55,12x12_7,random,12,20.52053,9204,9204,1,,A,1
56,12x12_7,random,12,32.481457,14309,14309,1,,A,1
57,12x12_7,random,12,66.043661,29637,29637,1,,A,1
58,12x12_7,random,12,264.237947,120188,120188,1,,A,1
59,12x12_7,random,12,70.79964,31897,31897,1,,A,1
60,12x12_7,random,12,118.624153,56406,56406,1,,A,1
61,12x12_7,random,12,35.510233,16538,16538,1,,A,1
