n,game,algorithm,dimension,time,number of moves,number of states,won,state space,solution: car,solution: direction
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,B,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,A,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,A,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,F,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,F,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,E,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,B,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,B,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,F,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,F,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,X,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,X,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,G,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,G,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,G,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,D,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,C,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,C,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,H,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,C,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,X,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,B,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,B,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,E,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,E,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,E,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,B,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,B,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,X,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,F,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,A,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,F,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,F,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,F,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,X,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,B,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,B,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,B,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,D,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,D,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,D,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,B,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,A,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,G,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,A,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,A,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,A,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,B,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,D,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,F,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,G,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,D,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,D,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,B,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,B,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,B,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,X,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,F,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,F,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,F,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,X,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,B,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,B,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,B,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,D,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,D,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,D,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,B,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,E,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,E,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,E,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,B,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,G,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,G,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,H,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,H,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,G,1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,H,-1
1,6x6_3,breadthfirst,6,29.405938,79,9303,1,,B,1
